id	dist_bin_0	dist_bin_1	dist_multi_0	dist_multi_1	dist_multi_2	dist_multi_3	dist_multi_4
f3b81af2f6852bf1b9896629525d2f41	0.4	0.6	0.4	0.2	0.0	0.2	0.2
cf8b8bac7165144bb62b399a98843366	1.0	0.0	1.0	0.0	0.0	0.0	0.0
0c45cdf4cca5eec566d6dd53653b532b	0.0	1.0	0.0	0.1	0.3	0.4	0.2
3a60877d2c04ba65f457f7cc3e003169	0.0	1.0	0.0	0.0	0.2	0.4	0.4
f389b63364d8da93860e3c7e6569bf5b	0.0	1.0	0.0	0.0	0.1	0.5	0.4
c4deffb1fa017d090053d5d8782b34a1	1.0	0.0	1.0	0.0	0.0	0.0	0.0
655a110e3ed0bbaba02eef34d72d95a9	0.3	0.7	0.3	0.1	0.4	0.1	0.1
1262cf5ef164675761bc6c3503cb3fa5	0.0	1.0	0.0	0.0	0.0	0.0	1.0
9b7321d7751611380c0a1fd1856a400c	0.8	0.2	0.8	0.1	0.0	0.1	0.0
35579b693f80b8803c677c914aeb8bfe	1.0	0.0	1.0	0.0	0.0	0.0	0.0
8b47b2c308c8de2068c85e5d463eaa75	0.6	0.4	0.6	0.3	0.1	0.0	0.0
bf0e755b7170d0fa20fa0cce6462412c	0.5	0.5	0.5	0.0	0.2	0.3	0.0
fb636fb4e558368238ee462abecb9304	1.0	0.0	1.0	0.0	0.0	0.0	0.0
3ef82730900a1af256a8acbd579c776c	0.0	1.0	0.0	0.0	0.1	0.4	0.5
ed276fa29e8be1d93af7e5ec5e7995a0	0.0	1.0	0.0	0.1	0.5	0.3	0.1
a0f7ef24735174345426414906630d85	0.0	1.0	0.0	0.1	0.7	0.2	0.0
ac7534bd7735429f4ccc93bd85e5494d	0.6666666666666666	0.3333333333333333	0.6666666666666666	0.3333333333333333	0.0	0.0	0.0
b76c086303ecbe70711e970f7267cba8	0.1	0.9	0.1	0.1	0.6	0.2	0.0
ca8a4e1f7e4413e745030674b6774016	1.0	0.0	1.0	0.0	0.0	0.0	0.0
b000e71ce21c30246ae00a46790b4471	0.5	0.5	0.5	0.1	0.2	0.1	0.1
6bba0d93d28a17c66fd61cfb5125dbdc	1.0	0.0	1.0	0.0	0.0	0.0	0.0
a04498a3508429e1d91d421f6e21e86c	1.0	0.0	1.0	0.0	0.0	0.0	0.0
aa8fbb4c481171e0dd2e73f3075c72da	0.0	1.0	0.0	0.7	0.1	0.0	0.2
03b9cb99cfebe70ec78168e2ea1589a2	0.2	0.8	0.2	0.2	0.3	0.3	0.0
b9d91dd703b95ca6dcb8bb362002931a	0.0	1.0	0.0	0.0	0.0	0.1111111111111111	0.8888888888888888
61135f4ea08c879471185741a8919ce5	1.0	0.0	1.0	0.0	0.0	0.0	0.0
1465526e48574305737a900597aa87de	0.2	0.8	0.2	0.2	0.2	0.2	0.2
5e963844cb458a89b02f47baf23cdbad	0.2	0.8	0.2	0.0	0.0	0.3	0.5
3f45aef75acd8bd1bb7785d670cff6d3	1.0	0.0	1.0	0.0	0.0	0.0	0.0
35641a0507e0b7e4d8790abe9e922b6a	1.0	0.0	1.0	0.0	0.0	0.0	0.0
300d0d5d970960ebab6f987a43479336	0.0	1.0	0.0	0.2	0.1	0.3	0.4
9a2203ba6cb1b1991e82c7ca30cb3984	1.0	0.0	1.0	0.0	0.0	0.0	0.0
4f28214873dbbfddc503e2088e5901f0	1.0	0.0	1.0	0.0	0.0	0.0	0.0
90ff974b9d441ce6fa2d25debbe7b131	1.0	0.0	1.0	0.0	0.0	0.0	0.0
351b394113789f781aafc91232e1882a	1.0	0.0	1.0	0.0	0.0	0.0	0.0
2359d685ce73a111b3fb57675551aafb	1.0	0.0	1.0	0.0	0.0	0.0	0.0
0d8314d1583c40ad88d56f08a0c79eb8	1.0	0.0	1.0	0.0	0.0	0.0	0.0
7b6941bd28e0df97475021bd79165f33	1.0	0.0	1.0	0.0	0.0	0.0	0.0
b4cea42457e770bf2334fe50a933e38b	0.8	0.2	0.8	0.1	0.0	0.1	0.0
4be661d930588de2197d87e30c7506b2	1.0	0.0	1.0	0.0	0.0	0.0	0.0
a4902fe0781ed8cda42cb341073da220	0.8	0.2	0.8	0.0	0.0	0.1	0.1
d94391f17be6e633b3785a750d308357	1.0	0.0	1.0	0.0	0.0	0.0	0.0
e7eccf994f78803ce094d24af0837d7e	1.0	0.0	1.0	0.0	0.0	0.0	0.0
1b20b3243541bd540be021f7959b56bc	1.0	0.0	1.0	0.0	0.0	0.0	0.0
f66cc5f56f148bc94314aa5af7f28198	1.0	0.0	1.0	0.0	0.0	0.0	0.0
bd11df795f961367203320dae201854d	1.0	0.0	1.0	0.0	0.0	0.0	0.0
af19e726c06e03eb0d3d9eb87568a657	1.0	0.0	1.0	0.0	0.0	0.0	0.0
2246d52f7ca29d575c7ce9afe331c561	1.0	0.0	1.0	0.0	0.0	0.0	0.0
f582fa9719cb57c8a72099da91300f81	1.0	0.0	1.0	0.0	0.0	0.0	0.0
b369ab1bf24608c9a50e50e5f97d1bb1	1.0	0.0	1.0	0.0	0.0	0.0	0.0
f51b35adbf67ff6efbcca54a0e7a56db	1.0	0.0	1.0	0.0	0.0	0.0	0.0
97b7b9cdfe4bbbf5f0ea972e1328afcc	0.0	1.0	0.0	0.0	0.0	0.0	1.0
0925d4e44a17b09468a5b8d735352c52	1.0	0.0	1.0	0.0	0.0	0.0	0.0
bffc8c506ac55a5fb674a1ff22f53331	0.0	1.0	0.0	0.0	0.0	0.0	1.0
a40a961cd0a7db91a3a8cfa4a80e449c	1.0	0.0	1.0	0.0	0.0	0.0	0.0
a5177ba5cce2b39a100f0da960711411	0.2	0.8	0.2	0.4	0.0	0.4	0.0
f68ac05844763a23a7cd342a1272b1aa	0.8	0.2	0.8	0.0	0.0	0.0	0.2
d61e3305ee6918b5ae95602b0e52f159	0.0	1.0	0.0	0.0	0.2	0.4	0.4
7a5748f632689f08b02f403854e2c881	0.0	1.0	0.0	0.2	0.2	0.0	0.6
b0c0ec2e7cc47e7654b479c0f2862b41	1.0	0.0	1.0	0.0	0.0	0.0	0.0
59773312fb3a900c3009edba963c9297	1.0	0.0	1.0	0.0	0.0	0.0	0.0
9ef45101a285ca73b936c6fcb4b126a4	0.0	1.0	0.0	0.4	0.4	0.2	0.0
7cf7c4881f1ba5e84d7102e302c5b503	0.75	0.25	0.75	0.25	0.0	0.0	0.0
